Synonym;Kategorie;Gate;Gate-aktiv-bei;Basis;Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
ZK;kessel;D4;1;1;Kesselzustand PK;DAQ-ANA;3;;r;11588;11589;0,1;;;;;Initialisierung;Aus;SR Init;Start;Zündung Einschub;Zündung Pause;Leistungsbrand Start;Leistungsbrand;Gluterhaltung;Ausbrand;Entaschung Rost;Entaschung Nachlauf;Reinigung;Füllen Start;Füllen;Handbetrieb;Aschebox Warten;Verbrennungsassistent;ABS;STB;
O2soll;kessel;D4;1;;O2-Soll;DAQ-ANA;3;;r;11592;11593;0,1;%;;;;;;;;;;;;;;;;;;;;;;;;
TK;kessel;D4;1;1;Kesseltemperatur;DAQ-ANA;3;;r;10082;10083;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TKsoll;kessel;D4;1;;Kessel-Solltemperatur;DAQ-ANA;3;;r;11538;11539;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRL;system;;;;Rücklauftemperatur;DAQ-ANA;3;;r;11514;11515;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRLsoll;system;;;;Rücklauf-Solltemperatur;DAQ-ANA;3;;r;11610;11611;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Spreizung;system;;;;Spreizung Rücklauf;DAQ-ANA;3;;r;11684;11685;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TRG;kessel;D4;1;1;Rauchgastemperatur;DAQ-ANA;3;;r;11512;11513;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TPo;zentralpuffer;C2;1,2,3,4,5;1;Puffertemperatur oben;DAQ-ANA;3;;r;10122;10123;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TPm;zentralpuffer;C2;1,2,3,4,5;1;Puffertemperatur Mitte;DAQ-ANA;3;;r;10254;10255;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TPu;zentralpuffer;C2;1,2,3,4,5;1;Puffertemperatur unten;DAQ-ANA;3;;r;10124;10125;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puff Füllgrad;zentralpuffer;C2;1,2,3,4,5;1;Pufferfüllgrad Zentralpuffer;DAQ-ANA;3;;r;11342;11343;0,1;%;;;;;;;;;;;;;;;;;;;;;;;;
Puffer_soll oben;zentralpuffer;C2;1,2,3,4,5;;Puffer oben Sollwert;DAQ-ANA;3;;r;11344;11345;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffer_soll unten;zentralpuffer;C2;1,2,3,4,5;;Puffer unten Sollwert;DAQ-ANA;3;;r;11346;11347;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
PuffZustand;zentralpuffer;C2;1,2,3,4,5;1;Zustand Zentralpuffer;DAQ-ANA;3;6;rw;10202;10203;0,1;;;;;Aus;Restwärme;Ein;Laden;Handbetrieb;Rauchfangkehrer;;;;;;;;;;;;;;;
Max Anf Kessel;kessel;D4;1;;höchste Anforderung Kessel;DAQ-ANA;3;;r;11678;11679;0,1;;;;;;;;;;;;;;;;;;;;;;;;;
TFW;fremdwaerme;C9;1,2;;Fremdwärmetemperatur;DAQ-ANA;3;;rw;11500;11501;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Leistung;kessel;D4;1;1;Kesselleistung;DAQ-ANA;3;;r;11536;11537;0,1;%;;;;;;;;;;;;;;;;;;;;;;;;
Programm;kessel;D4;1;1;Programmwahlschalter;DAQ-ANA;3;6;rw;11336;11337;0,1;;;;;Hand;Aus;Boiler;Auto;Feuerung aus;;;;;;;;;;;;;;;;
Störungs Nr;kessel;D4;1;1;aktuelle Störungsnummer;DAQ-ANA;3;;r;11530;11531;0,1;;;;;;;;;;;;;;;;;;;;;;;;;
Max Anf ZenPuf;zentralpuffer;C2;1,2,3,4,5;;höchste Anforderung Zentralpuffer;DAQ-ANA;3;;r;13246;13247;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
I Es;kessel;D4;1;;Strom Einschubschnecke;DAQ-ANA;3;;r;11628;11629;0,1;mA;;;;;;;;;;;;;;;;;;;;;;;;
I Ra;kessel;D4;1;;Strom Raumaustragung;DAQ-ANA;3;;r;11630;11631;0,1;mA;;;;;;;;;;;;;;;;;;;;;;;;
I Aa;kessel;D4;1;;Strom Ascheaustragung;DAQ-ANA;3;;r;11632;11633;0,1;mA;;;;;;;;;;;;;;;;;;;;;;;;
