Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Kesselzustand PK;DAQ-ANA;3;;r;11588;11589;0,1;;;;;Initialisierung;Aus;SR Init;Start;Zündung Einschub;Zündung Pause;Leistungsbrand Start;Leistungsbrand;Gluterhaltung;Ausbrand;Entaschung Rost;Entaschung Nachlauf;Reinigung;Füllen Start;Füllen;Handbetrieb;Aschebox Warten;Verbrennungsassistent;ABS;STB;
O2-Soll;DAQ-ANA;3;;r;11592;11593;;%;;;;;;;;;;;;;;;;;;;;;;;;
Kesseltemperatur;DAQ-ANA;3;;r;10082;10083;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Kessel-Solltemperatur;DAQ-ANA;3;;r;11538;11539;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Rücklauftemperatur;DAQ-ANA;3;;r;11514;11515;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Rücklauf-Solltemperatur;DAQ-ANA;3;;r;11610;11611;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Spreizung Rücklauf;DAQ-ANA;3;;r;11684;11685;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Rauchgastemperatur;DAQ-ANA;3;;r;11512;11513;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffertemperatur oben;DAQ-ANA;3;;rw;10122;10123;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffertemperatur Mitte;DAQ-ANA;3;;rw;10254;10255;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffertemperatur unten;DAQ-ANA;3;;rw;10124;10125;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Pufferfüllgrad Zentralpuffer;DAQ-ANA;3;;r;11342;11343;0,1;%;;;;;;;;;;;;;;;;;;;;;;;;
Puffer oben Sollwert;DAQ-ANA;3;;r;11344;11345;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffer unten Sollwert;DAQ-ANA;3;;r;11346;11347;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Zentralpuffer;DAQ-ANA;3;;r;10202;10203;0,1;;;;;Aus;Restwärme;Ein;Laden;Handbetrieb;Rauchfangkehrer;;;;;;;;;;;;;;;
höchste Anforderung Kessel;DAQ-ANA;3;;r;11678;11679;;;;;;;;;;;;;;;;;;;;;;;;;;
Fremdwärmetemperatur;DAQ-ANA;3;;rw;11500;11501;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Kesselleistung;DAQ-ANA;3;;r;11536;11537;;%;;;;;;;;;;;;;;;;;;;;;;;;
Programmwahlschalter;DAQ-ANA;3;6;rw;11336;11337;0,1;;;;;Hand;Aus;Boiler;Auto;Feuerung aus;;;;;;;;;;;;;;;;
aktuelle Störungsnummer;DAQ-ANA;3;;r;11530;11531;;;;;;;;;;;;;;;;;;;;;;;;;;
höchste Anforderung Zentralpuffer;DAQ-ANA;3;;r;13246;13247;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Strom Einschubschnecke;DAQ-ANA;3;;r;11628;11629;;mA;;;;;;;;;;;;;;;;;;;;;;;;
Strom Raumaustragung;DAQ-ANA;3;;r;11630;11631;;mA;;;;;;;;;;;;;;;;;;;;;;;;
Strom Ascheaustragung;DAQ-ANA;3;;r;11632;11633;;mA;;;;;;;;;;;;;;;;;;;;;;;;
Strom Schieberost;DAQ-ANA;3;;r;11836;11837;;mA;;;;;;;;;;;;;;;;;;;;;;;;
Strom Putzeinrichtung;DAQ-ANA;3;;r;11838;11839;;mA;;;;;;;;;;;;;;;;;;;;;;;;
Einschub seit letztem Füllen;DAQ-ANA;3;;r;11676;11677;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Einschub seit letzter Entaschung;DAQ-ANA;3;;r;11850;11851;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Einschub seit letzter Entaschung;DAQ-ANA;3;;r;11850;11851;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl Entaschungen;DAQ-ANA;3;;r;11852;11853;;;;;;;;;;;;;;;;;;;;;;;;;;
